frame,time,rx,ry,rz,px,py,pz
179,1.491515,0.071928,-0.003449,-0.203943,-0.440561,0.063418,0.634727
180,1.499847,0.187699,0.016402,-0.141346,-0.440556,0.063444,0.634741
181,1.50818,0.099211,-0.009181,-0.141109,-0.440573,0.063398,0.6348
182,1.516512,0.021713,-0.002886,-0.165792,-0.440624,0.063464,0.634824
183,1.524845,0.180014,0.006081,-0.154671,-0.440574,0.063407,0.634813
184,1.533177,0.090156,-0.005677,-0.158083,-0.440573,0.063383,0.634804
185,1.54151,0.123481,-0.017367,-0.072978,-0.440571,0.063466,0.63477
186,1.549842,0.075404,-0.010011,-0.163027,-0.440563,0.063395,0.634789
187,1.558175,0.102338,-0.017318,-0.131472,-0.440567,0.063365,0.634784
188,1.566507,0.099866,0.005454,-0.205174,-0.440622,0.063565,0.634768
189,1.57484,0.142247,-0.004931,-0.142335,-0.44058,0.063425,0.634751
190,1.583172,0.05984,-0.014824,-0.123834,-0.440571,0.063399,0.634731
191,1.591505,-0.006937,-0.026797,-0.20017,-0.440571,0.063449,0.634735
192,1.599837,0.153977,0.000024,-0.097688,-0.440584,0.063434,0.634736
193,1.60817,0.090367,-0.004525,-0.134509,-0.440605,0.063487,0.634747
194,1.616502,0.088814,-0.010919,-0.144138,-0.440555,0.063389,0.634708
195,1.624835,0.154416,0.017875,-0.150402,-0.440536,0.063385,0.63469
196,1.633167,0.000049,-0.011409,-0.124853,-0.440538,0.063414,0.634686
197,1.6415,0.174747,0.010231,-0.124258,-0.440551,0.063382,0.634701
198,1.649832,0.115304,0.008842,-0.082447,-0.440588,0.06347,0.634715
199,1.658165,0.228744,0.021763,-0.163556,-0.440573,0.063495,0.634691
200,1.666497,0.213555,0.026276,-0.151609,-0.440571,0.063412,0.634713
201,1.67483,0.101279,-0.010634,-0.1316,-0.440542,0.063365,0.634701
202,1.683162,0.143669,-0.005803,-0.134472,-0.440564,0.063432,0.634719
203,1.691494,0.088985,-0.000162,-0.124874,-0.440581,0.063433,0.634748
204,1.699827,0.147509,-0.004514,-0.103829,-0.440586,0.063446,0.634751
205,1.708159,0.123896,-0.008212,-0.118032,-0.440569,0.063428,0.634766
206,1.716492,0.011086,-0.016048,-0.121311,-0.440551,0.063407,0.634759
207,1.724824,0.099587,-0.008047,-0.133354,-0.440598,0.063544,0.634765
208,1.733157,0.069143,-0.005792,-0.177334,-0.4406,0.063483,0.634801
209,1.741489,0.114429,-0.001583,-0.100652,-0.440601,0.063505,0.634785
210,1.749822,0.102231,0.00506,-0.194322,-0.440564,0.063459,0.634751
211,1.758154,0.157162,-0.005599,-0.096825,-0.440614,0.063539,0.634769
212,1.766487,-0.004559,-0.026848,-0.112565,-0.440615,0.06351,0.634753
213,1.774819,0.14008,0.008648,-0.140881,-0.440542,0.063388,0.634701
214,1.783152,0.068944,-0.009956,-0.112862,-0.440579,0.063461,0.634698
215,1.791484,0.088216,-0.011741,-0.152166,-0.440591,0.063481,0.634689
216,1.799817,0.055784,0.003646,-0.19807,-0.440582,0.063521,0.634672
217,1.808149,0.097429,-0.019378,-0.135021,-0.440554,0.063576,0.634665
218,1.816482,0.200695,0.027302,-0.156269,-0.44056,0.063566,0.634673
219,1.824814,0.073936,-0.01153,-0.141347,-0.44059,0.063655,0.634682
220,1.833147,0.102326,-0.010355,-0.149834,-0.440571,0.063726,0.634681
221,1.841479,0.713372,-0.006827,0.518462,-0.440674,0.064016,0.634818
222,1.849812,0.658978,-0.024218,0.410166,-0.440666,0.064051,0.634853
223,1.858144,0.774478,-0.008717,0.479544,-0.440662,0.0641,0.634846
224,1.866477,0.597309,-0.030504,0.422397,-0.440644,0.0641,0.63486
225,1.874809,0.644672,-0.025484,0.377907,-0.440648,0.064124,0.634883
226,1.883142,0.733555,-0.034726,0.448347,-0.440664,0.064197,0.63489
227,1.891474,0.669646,-0.024884,0.423559,-0.44062,0.064108,0.63488
228,1.899807,0.69409,-0.015986,0.367137,-0.44065,0.064119,0.634877
229,1.908139,0.63403,-0.049257,0.536314,-0.440645,0.064113,0.634888
230,1.916472,0.780758,-0.037561,0.385013,-0.440685,0.064199,0.634855
231,1.924804,0.761082,-0.04839,0.372928,-0.440652,0.064114,0.634848
232,1.933137,0.56095,-0.044712,0.397227,-0.44065,0.064138,0.634843
233,1.941469,0.678852,-0.006019,0.366188,-0.44065,0.064073,0.634854
234,1.949802,0.742034,-0.021147,0.381117,-0.440618,0.064106,0.634842
235,1.958134,0.810155,0.003838,0.444175,-0.440636,0.064116,0.63484
236,1.966467,0.628712,-0.034088,0.439774,-0.440641,0.064098,0.634852
237,1.974799,0.749857,-0.019192,0.460159,-0.440633,0.064104,0.63486
238,1.983131,0.633302,-0.035678,0.425219,-0.440631,0.064122,0.63484
239,1.991464,0.682975,-0.023499,0.486104,-0.440635,0.064136,0.634842
240,1.999796,0.569867,-0.032566,0.392712,-0.440642,0.064097,0.634849
241,2.008129,0.789449,0.001436,0.409996,-0.440639,0.064131,0.634827
242,2.016461,0.722932,-0.009601,0.354005,-0.44057,0.063999,0.634827
243,2.024794,0.810903,0.005075,0.425504,-0.440586,0.064024,0.634823
244,2.033126,0.725226,-0.000578,0.383096,-0.440586,0.063999,0.634851
245,2.041459,0.743411,-0.018321,0.341843,-0.440615,0.064064,0.634851
246,2.049791,0.652156,-0.027021,0.361032,-0.440589,0.064047,0.634856
247,2.058124,0.726359,-0.026801,0.430298,-0.440597,0.064045,0.634854
248,2.066456,0.686469,-0.025886,0.356322,-0.440627,0.064083,0.63486
249,2.074789,0.782881,-0.006528,0.357296,-0.440595,0.064026,0.634867
250,2.083121,0.815729,0.002672,0.451925,-0.440625,0.064109,0.634853
251,2.091454,0.638975,-0.029582,0.358806,-0.440626,0.064065,0.634882
252,2.099786,0.684912,-0.022235,0.365806,-0.440623,0.064128,0.634871
253,2.108119,0.622611,-0.03514,0.337194,-0.440607,0.064142,0.634853
254,2.116451,0.705885,-0.0205,0.378531,-0.440631,0.064138,0.63487
255,2.124784,0.758116,-0.018455,0.381684,-0.440636,0.064132,0.634846
256,2.133116,0.803163,-0.019973,0.279527,-0.440614,0.064132,0.634848
257,2.141449,0.683198,-0.0535,0.388583,-0.440596,0.064117,0.634829
258,2.149781,0.751543,-0.032316,0.414318,-0.440562,0.064034,0.634825
259,2.158114,0.762755,-0.025573,0.389908,-0.440606,0.064093,0.63484
260,2.166446,0.686521,-0.017518,0.412188,-0.440619,0.064177,0.634833
261,2.174779,0.63941,-0.052045,0.301715,-0.440596,0.064123,0.634843
262,2.183111,0.824102,-0.030374,0.417056,-0.440627,0.06416,0.634871
263,2.191444,0.685146,-0.036228,0.40222,-0.440607,0.064112,0.634867
264,2.199776,0.861732,-0.049095,0.37684,-0.440582,0.064074,0.63486
265,2.208109,0.661805,-0.052614,0.404553,-0.440598,0.064103,0.634865
266,2.216441,0.833625,-0.038458,0.361741,-0.440632,0.06419,0.634875
267,2.224774,0.656144,0.031368,0.439274,-0.440583,0.064194,0.634816
268,2.233106,0.713444,-0.032389,0.405742,-0.440619,0.064148,0.63489
269,2.241439,0.813386,-0.045119,0.437826,-0.440575,0.064042,0.634866
270,2.249771,0.744623,-0.023935,0.402433,-0.440623,0.064172,0.634866
271,2.258103,0.575953,-0.057361,0.390332,-0.440622,0.064193,0.634867
272,2.266436,0.853271,-0.01552,0.433616,-0.440602,0.064164,0.634865
273,2.274768,0.845754,-0.024624,0.439261,-0.440574,0.064206,0.63484
274,2.283101,0.774443,-0.033261,0.434456,-0.4406,0.064226,0.634857
275,2.291433,0.6691,-0.063769,0.329865,-0.440616,0.064237,0.634852
276,2.299766,0.543199,-0.021766,0.32409,-0.440606,0.064277,0.634839
277,2.308098,0.617534,0.000408,0.25627,-0.440604,0.064235,0.634859
278,2.316431,0.614646,-0.005366,0.38089,-0.440619,0.064334,0.634849
279,2.324763,0.531521,-0.037358,0.34096,-0.440594,0.064274,0.634868
280,2.333096,0.684634,-0.045333,0.306698,-0.440588,0.064107,0.634879
281,2.341428,0.608278,0.010328,0.307538,-0.440593,0.064179,0.634849
282,2.349761,0.546131,-0.020748,0.255041,-0.440575,0.064195,0.634867
283,2.358093,0.592442,-0.034103,0.347421,-0.440641,0.064327,0.634892
284,2.366426,0.582319,-0.003207,0.41632,-0.440611,0.064323,0.63488
285,2.374758,0.513795,0.004892,0.382587,-0.440633,0.064302,0.634886
286,2.383091,0.559822,-0.00913,0.28104,-0.44061,0.064237,0.634873
287,2.391423,0.704763,-0.040162,0.400454,-0.440555,0.064119,0.634886
288,2.399756,0.584919,0.010624,0.400571,-0.440589,0.064236,0.634852
