pwm,psi,time
182,6.96,138.64
182,6.96,138.75
182,6.92,138.85
182,6.93,138.95
182,6.93,139.05
181,6.93,139.15
181,6.94,139.25
181,6.95,139.35
181,6.94,139.45
181,6.93,139.55
181,6.94,139.65
181,6.95,139.76
181,6.94,139.86
181,6.96,139.96
181,6.95,140.06
180,6.96,140.16
180,7,140.26
180,6.99,140.36
180,6.98,140.46
180,6.9,140.56
180,6.89,140.66
180,6.89,140.77
180,6.86,140.87
180,6.86,140.97
180,6.87,141.07
179,6.88,141.17
179,6.89,141.27
179,6.88,141.37
179,6.88,141.47
179,6.87,141.57
179,6.89,141.68
