tiempo_s,presion_psi,presion_kPa,desplazamiento_mm
4.07,0.6594505749999999,4.5467516614653185,0.1487696494171329
4.08,0.6625774999999999,4.568311050414259,0.149715491256342
4.09,0.6657182,4.589965414644913,0.1506443198496815
4.1,0.6688588999999999,4.611619778875567,0.1516019813832456
4.11,0.672013375,4.633369118387935,0.1525705569501022
4.12,0.6751816249999999,4.6552134331820145,0.153550068872273
4.13,0.6783360999999999,4.676962772694382,0.1544926287065222
4.14,0.681518125,4.698902062770176,0.1554840665643499
4.15,0.684686375,4.720746377564257,0.1564385246486305
4.16,0.687882175,4.742780642921765,0.1574419349923817
4.17,0.6910641999999999,4.764719932997558,0.1584083377506028
4.18,0.6942737749999999,4.786849173636779,0.1594237675190887
4.19,0.697469575,4.808883438994287,0.1604021617636978
4.2,0.70067915,4.831012679633508,0.1613915709364448
4.21,0.7039025,4.853236895554442,0.1623920178752863
4.22,0.70712585,4.875461111475376,0.1634215701859625
4.23,0.710362975,4.897780302678024,0.1644341182020127
4.24,0.7136001,4.920099493880671,0.1654476998190119
4.25,0.7168372249999999,4.942418685083319,0.1664623158514724
4.26,0.720088125,4.96483285156768,0.1674880406857783
4.27,0.7233527999999999,4.987341993333754,0.1685248977030029
4.28,0.7266036999999999,5.009756159818115,0.1695527329858389
4.29,0.7298821499999999,5.032360276865903,0.1706018135118007
4.3,0.7331605999999999,5.054964393913691,0.1716519779140313
4.31,0.73643905,5.077568510961479,0.1726750028544997
4.32,0.7397312749999999,5.1002676032909795,0.1737374415246414
4.33,0.7430235000000001,5.122966695620482,0.1748009819907052
4.34,0.7463295,5.145760763231696,0.1758474895071614
4.35,0.7496354999999999,5.16855483084291,0.1769233708510062
4.36,0.7529415,5.191348898454126,0.1780003720917674
4.37,0.75627505,5.214332916628766,0.1790704932491849
4.38,0.7595948249999999,5.237221959521694,0.1801599026928046
4.39,0.762928375,5.260205977696336,0.1812322761618
4.4,0.7662756999999999,5.28328497115269,0.1823443177690357
